;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;178;ABA_N8_2048_BS_JV;ABA_N9_2048_BS_JV
SPL_ANZOLA;179;ABA_N9_2048_BS_JV;ABA_N10_2048_BS_JV
SPL_ANZOLA;180;ABA_N10_2048_BS_JV;ABA_N11_2048_BS_JV
SPL_ANZOLA;181;ABA_N11_2048_BS_JV;ABA_N12_2048_BS_JV
SPL_ANZOLA;182;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;183;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;184;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;185;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;186;ABA_N8_4096_BS;ABA_N9_4096_BS
SPL_ANZOLA;187;ABA_N9_4096_BS;ABA_N10_4096_BS
SPL_ANZOLA;188;ABA_N10_4096_BS;ABA_N11_4096_BS
SPL_ANZOLA;189;ABA_N11_4096_BS;ABA_N12_4096_BS
SPL_ANZOLA;190;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;191;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;192;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;193;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;194;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;195;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;196;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;197;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;198;ABA_N8_4096_BS_JC;ABA_N9_4096_BS_JC
SPL_ANZOLA;199;ABA_N9_4096_BS_JC;ABA_N10_4096_BS_JC
SPL_ANZOLA;200;ABA_N10_4096_BS_JC;ABA_N11_4096_BS_JC
SPL_ANZOLA;201;ABA_N11_4096_BS_JC;ABA_N12_4096_BS_JC
SPL_ANZOLA;202;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;203;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;204;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;205;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;206;ABA_N8_6144_BS_JV;ABA_N9_6144_BS_JV
SPL_ANZOLA;207;ABA_N9_6144_BS_JV;ABA_N10_6144_BS_JV
SPL_ANZOLA;208;ABA_N10_6144_BS_JV;ABA_N11_6144_BS_JV
SPL_ANZOLA;209;ABA_N11_6144_BS_JV;ABA_N12_6144_BS_JV
SPL_ANZOLA;210;ABA_N8_10240_BS;ABA_N9_10240_BS
SPL_ANZOLA;211;ABA_N9_10240_BS;ABA_N10_10240_BS
SPL_ANZOLA;212;ABA_N10_10240_BS;ABA_N11_10240_BS
SPL_ANZOLA;213;ABA_N11_10240_BS;ABA_N12_10240_BS
SPL_ANZOLA;214;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;215;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;216;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;217;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;218;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;219;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;220;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;221;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;222;ABA_N8_4096_BS_JV;ABA_N9_4096_BS_JV
SPL_ANZOLA;223;ABA_N9_4096_BS_JV;ABA_N10_4096_BS_JV
SPL_ANZOLA;224;ABA_N10_4096_BS_JV;ABA_N11_4096_BS_JV
